# ICTV confirmed HCV genotypes/subtypes and their exemplar GenBank accessions.
# Mirrored from ICTV Flaviviridae Study Group, Hepacivirus Table 1:
#   https://ictv.global/sg_wiki/flaviviridae/hepacivirus/table1
# Retrieved 2026-09-08. 94 confirmed subtypes across genotypes 1-8.
# Where ICTV lists two exemplars they are given comma-separated, in ICTV's order.
# Used by tests/test_reference_catalog.py to validate DEFAULT_REFERENCE_CATALOG.
subtype	accessions
1a	M62321,M67463
1b	D90208,M58335
1c	D14853,AY051292
1d	KJ439768
1e	KC248194,KJ439769
1g	AM910652,KJ439770
1h	KC248198,KC248199
1i	KJ439772
1j	KJ439773
1k	KJ439774
1l	KC248193,KC248197
1m	KJ439778,KJ439782
1n	KJ439775,KJ439781
1o	KJ439779,MH885469
2a	D00944,AB047639
2b	D10988,AB030907
2c	D50409
2d	JF735114
2e	JF735120
2f	KC844042,KC844050
2i	DQ155561
2j	HM777358,JF735113
2k	AB031663
2l	KC197235,KC197240
2m	JF735111,JX227967
2q	FN666428,FN666429
2r	JF735115
2t	KC197238
2u	JF735112
2v	MW041295
3a	D17763,D28917
3b	D49374
3d	KJ470619
3e	KJ470618
3g	JX227954,JF735123
3h	JF735121
3i	FJ407092,JX227955
3k	D63821,JF735122
4a	Y11604
4b	FJ462435
4c	FJ462436
4d	DQ418786,FJ462437
4f	EF589161,EU392175
4g	FJ462432
4k	EU392173,FJ462438
4l	FJ839870
4m	FJ462433
4n	FJ462441
4o	FJ462440
4p	FJ462431
4q	FJ462434
4r	FJ462439
4s	JF735136
4t	FJ839869
4v	HQ537009,JX227959
4w	FJ025855,FJ025856
5a	Y13184,AF064490
5b	PQ899568
6a	Y12083,AY859526
6b	D84262
6c	EF424629
6d	D84263
6e	DQ314805
6f	DQ835760
6g	D63822
6h	D84265
6i	DQ835770
6j	DQ835769
6k	D84264
6l	EF424628
6m	DQ835767
6n	DQ278894,DQ835768
6o	EF424627
6p	EF424626
6q	EF424625
6r	EU408328
6s	EU408329
6t	EF632071,EU246939
6u	EU246940
6v	EU158186,EU798760
6w	DQ278892,EU643834
6xa	EU408330,EU408332
6xb	JX183552,KJ567645
6xc	KJ567651
6xd	KM252789,KM252790
6xe	JX183557,KM252792
6xf	KJ567647,KJ567646
6xg	MH492360,MH492361
6xh	MG879000
6xi	JX183549,MZ504973
6xj	DQ2788916,MZ171127
7a	EF108306
7b	KX092342
8a	MH590698
